epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,3653.22,0.43998,0.25794,0.8582,0.88844,0.82957,0.88977,0.5726,1.06995,0.52504,1.09989,0.000198202,0.000198202,0.000198202
89,3694.2,0.44119,0.25135,0.85599,0.8711,0.84243,0.88664,0.56901,1.07667,0.53395,1.10419,0.000184055,0.000184055,0.000184055
90,3735.29,0.44218,0.25401,0.85994,0.8576,0.84462,0.88526,0.57178,1.06369,0.53359,1.09413,0.000169908,0.000169908,0.000169908
91,3777.01,0.83281,0.44477,1.02526,0.88239,0.83468,0.89168,0.578,1.03807,0.50812,1.07815,0.000155761,0.000155761,0.000155761
92,3818.59,0.81648,0.41766,1.01184,0.85724,0.85467,0.893,0.58794,1.03386,0.49725,1.06956,0.000141614,0.000141614,0.000141614
93,3859.81,0.79593,0.40528,1.00221,0.88123,0.85412,0.8987,0.59071,1.03571,0.49272,1.06653,0.000127467,0.000127467,0.000127467
94,3901.16,0.79543,0.40788,1.0045,0.88488,0.83763,0.90225,0.59069,1.03293,0.49022,1.06494,0.00011332,0.00011332,0.00011332
95,3942.48,0.77866,0.39553,0.99124,0.88526,0.85353,0.90375,0.59284,1.03317,0.49087,1.06574,9.91726e-05,9.91726e-05,9.91726e-05
96,3983.84,0.77606,0.38915,0.99195,0.88115,0.86651,0.90574,0.59813,1.02408,0.48754,1.06335,8.50255e-05,8.50255e-05,8.50255e-05
97,4025.05,0.76574,0.38686,0.98642,0.88505,0.8687,0.90766,0.59756,1.02637,0.48625,1.06149,7.08784e-05,7.08784e-05,7.08784e-05
98,4066,0.75836,0.3825,0.98535,0.88155,0.86986,0.9093,0.60128,1.02477,0.48309,1.0622,5.67313e-05,5.67313e-05,5.67313e-05
99,4107.24,0.7595,0.38058,0.98021,0.87875,0.86837,0.90859,0.59799,1.02779,0.48611,1.06222,4.25842e-05,4.25842e-05,4.25842e-05
100,4148.11,0.75173,0.37449,0.98183,0.88228,0.87065,0.90771,0.5987,1.02463,0.48406,1.06163,2.84371e-05,2.84371e-05,2.84371e-05
